"Length";"Width";"Height";"Qty";"Label"
532;44;69;1;"Zijkant, links, onder"
850;44;69;1;"Zijkant, links, links"
850;44;69;1;"Zijkant, links, rechts"
424;44;69;1;"Zijkant, links, ligger"
532;44;69;1;"Zijkant, links, boven"
620;18;69;1;"Achterbalk 1"
620;18;69;1;"Achterbalk 2"
620;18;69;1;"Achterbalk 3"
850;44;69;1;"Zijkant, rechts, rechts"
850;44;69;1;"Zijkant, rechts, links"
532;44;69;1;"Zijkant, rechts, boven"
424;44;69;1;"Zijkant, rechts, ligger"
532;44;69;1;"Zijkant, rechts, onder"
532;27;44;1;"Uitklapper, afstandbalkje L"
532;27;44;1;"Uitklapper, afstandbalkje R"
850;44;27;1;"Uitklapper, ondersteuningsbalkje (lengte) LL"
850;44;27;1;"Uitklapper, ondersteuningsbalkje (lengte) LR"
850;44;27;1;"Uitklapper, ondersteuningsbalkje (lengte) RL"
850;44;27;1;"Uitklapper, ondersteuningsbalkje (lengte) RR"
532;44;27;1;"Uitklapper, dwarsbalkje (eind) L"
532;44;27;1;"Uitklapper, dwarsbalkje (eind) R"
